"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ssol","Kongdoo Monster","ADC",41,"22%","54%",77,74,141,2.9,"74.7%","26.4%","15.5%","12%",-69,-133,-2.2,10.2,"30.3%",521,"31.9%",,277,"26.5%",,0.45,0.14,0.46
"Teddy","Jin Air Green Wings","ADC",44,"43%","52%",173,64,170,5.4,"79.6%","40.1%","15.5%","23%",5,-13,2.5,11.8,"33.8%",672,"34.7%",,341,"28.9%",,0.43,0.12,0.52
"Tempt","bbq Olivers","Middle",44,"39%","52%",109,72,162,3.8,"72.3%","29.1%","18.7%","27%",89,31,1.2,10,"27.2%",527,"31.8%",,282,"24.6%",,0.63,0.2,0.28
"Thal","SK Telecom T1","Top",25,"60%","56%",32,41,117,3.6,"56.4%","12.1%","22.5%","20%",20,-6,-3.2,8.9,"24.5%",489,"24.2%",,276,"22.3%",,0.67,0.16,0.2
"Trick","bbq Olivers","Jungle",36,"42%","47%",50,83,179,2.8,"75.8%","16.6%","27.7%","47%",11,83,-2.1,5.1,"12.4%",166,"10.0%",,186,"16.1%",,1.24,0.28,0.5
"TusiN","Kwangdong Freecs","Support",41,"68%","51%",13,71,271,4,"76.1%","3.5%","25.6%","41%",-14,-8,-2.5,2.2,"5.9%",130,"7.4%",,149,"11.4%",,1.72,0.5,0.39
"ucal","KT Rolster","Middle",12,"75%","25%",28,13,51,6.1,"66.4%","23.5%","19.1%","17%",88,76,3.6,10.3,"26.0%",445,"25.1%",,293,"23.3%",,0.56,0.19,0.15
"UmTi","Jin Air Green Wings","Jungle",44,"43%","32%",64,106,251,3,"73.1%","14.8%","25.6%","36%",81,99,4.7,5.2,"11.9%",193,"10.2%",,185,"15.7%",,1.62,0.29,0.65
"Untara","SK Telecom T1","Top",21,"38%","52%",28,43,69,2.3,"57.1%","16.5%","20.9%","10%",-201,-121,-6.9,8.8,"23.6%",275,"16.6%",,245,"21.5%",,0.68,0.15,0.24
"Wiz","Kongdoo Monster","Jungle",8,"0%","50%",4,20,33,1.9,"80.4%","8.7%","20.4%","38%",-234,-317,-5.6,4.5,"10.8%",152,"10.0%",,144,"14.8%",,1.23,0.32,0.56
"Wolf","SK Telecom T1","Jungle",4,"50%","50%",12,10,29,4.1,"70.7%","20.7%","23.3%","0%",-166,69,2,4.7,"12.2%",177,"8.1%",,205,"15.8%",,1.72,0.23,0.9
"Wolf","SK Telecom T1","Support",27,"48%","56%",23,49,153,3.6,"75.5%","9.9%","20.4%","26%",16,97,2.2,2.1,"5.8%",112,"6.2%",,126,"10.7%",,1.29,0.42,0.45
"Wraith","Jin Air Green Wings","Support",44,"43%","43%",20,88,309,3.7,"76.3%","4.6%","21.3%","27%",-19,2,-0.1,1.6,"4.0%",107,"5.9%",,118,"9.7%",,1.39,0.38,0.32
"Yaharong","Jin Air Green Wings","Middle",36,"44%","50%",99,66,157,3.9,"71.1%","27.5%","19.8%","22%",-110,-157,-1.2,10,"26.9%",545,"29.2%",,279,"23.9%",,0.55,0.13,0.24
