"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Paragon","Incredible Miracle","ADC",1,"100%",,3,1,9,12,"52.2%","13.0%","11.1%","0%",-374,227,-17,7.8,"28.9%",453,"22.6%",,265,"22.7%",,0.2,0.06,0.22
"Peanut","NaJin e-mFire","Jungle",1,"100%",,3,1,7,10,"71.4%","21.4%","16.7%","100%",505,385,4,3.8,"11.0%",315,"18.5%",,238,"19.9%",,0.74,0.19,0.34
"Piccaboo","KT Rolster","Support",23,"74%",,16,50,206,4.4,"72.1%","5.2%","28.7%","52%",68,-89,0.5,0.8,"2.9%",113,"6.5%",,103,"9.7%",,1.45,0.2,0.37
"Pilot","Jin Air Green Wings","ADC",26,"54%",,95,38,143,6.3,"79.9%","31.9%","17.0%","31%",39,-55,-0.7,8.8,"31.1%",494,"30.2%",,262,"26.5%",,0.11,0.03,0.2
"PraY","ROX Tigers","ADC",42,"62%",,160,97,273,4.5,"73.3%","27.1%","20.3%","26%",-17,-200,0.6,8.5,"30.1%",571,"28.8%",,264,"25.3%",,0.2,0.03,0.22
"Pure","NaJin e-mFire","Support",45,"58%",,24,126,392,3.3,"68.0%","3.9%","25.3%","36%",16,-4,0.4,0.9,"3.3%",123,"7.0%",,98,"9.4%",,1.39,0.27,0.41
"Roar","Incredible Miracle","ADC",32,"28%",,87,86,134,2.6,"68.2%","26.9%","18.3%","16%",6,-84,1.8,9,"32.8%",517,"29.6%",,256,"27.4%",,0.12,0.03,0.23
"Sangyoon","Rebels Anarchy","ADC",46,"37%",,133,116,173,2.6,"63.8%","27.7%","15.7%","13%",4,-96,-0.2,8.7,"30.8%",466,"26.2%",,250,"25.9%",,0.14,0.07,0.17
"SaSin","SBENU Korea","Middle",41,"20%",,91,127,149,1.9,"69.8%","26.5%","19.5%","2%",-203,-170,-5.5,8.5,"30.8%",499,"29.8%",,228,"26.4%",,0.43,0.08,0.2
"Score","KT Rolster","Jungle",44,"64%",,79,76,352,5.7,"71.5%","13.1%","18.3%","50%",17,-81,-2.1,3,"10.3%",211,"12.0%",,170,"16.4%",,0.91,0.12,0.32
"Secret","SBENU Korea","Support",34,"21%",,19,133,172,1.4,"68.7%","6.8%","25.2%","6%",-45,-45,-0.3,0.9,"3.6%",123,"7.6%",,80,"9.0%",,1.3,0.18,0.28
"Shy","CJ Entus","Top",38,"63%",,102,88,254,4,"64.3%","18.4%","18.8%","26%",1,-21,-0.6,7.6,"26.4%",396,"19.0%",,235,"22.1%",,0.59,0.05,0.05
"Smeb","ROX Tigers","Top",42,"62%",,117,94,299,4.4,"70.4%","19.8%","19.7%","33%",98,116,4.7,7.1,"24.8%",440,"22.1%",,225,"21.5%",,0.47,0.08,0.08
"SnowFlower","Rebels Anarchy","Support",46,"37%",,27,174,309,1.9,"70.0%","5.6%","23.5%","24%",-1,-8,0.1,0.9,"3.5%",144,"8.4%",,89,"9.0%",,1.15,0.22,0.38
"SoaR","SBENU Korea","Top",4,"0%",,5,17,5,0.6,"52.6%","26.3%","24.6%","25%",-347,-119,-9.3,6.4,"23.3%",261,"17.0%",,159,"19.0%",,0.48,0.02,0.04
"Sonstar","Incredible Miracle","ADC",9,"22%",,34,21,45,3.8,"76.0%","32.7%","14.5%","22%",-155,165,-6.3,8.3,"31.6%",571,"30.6%",,247,"27.3%",,0.14,0.07,0.13
"Soul","SBENU Korea","Top",39,"21%",,61,135,164,1.7,"67.4%","18.3%","22.0%","5%",-184,-158,-4.6,6.7,"23.4%",389,"23.3%",,182,"21.0%",,0.59,0.03,0.06
"Space","CJ Entus","ADC",46,"59%",,185,118,250,3.7,"68.8%","29.3%","20.3%","22%",-17,182,-0.8,8.1,"28.3%",579,"28.5%",,255,"24.7%",,0.14,0.03,0.16
"Ssumday","KT Rolster","Top",44,"64%",,131,82,297,5.2,"71.0%","21.7%","19.8%","30%",91,127,2.4,7.9,"28.6%",359,"19.8%",,242,"23.4%",,0.76,0.07,0.11
"Sweet","Jin Air Green Wings","Support",18,"61%",,10,45,159,3.8,"74.8%","4.4%","28.7%","39%",-25,95,-0.3,0.9,"3.4%",112,"6.7%",,92,"8.8%",,1.2,0.24,0.32
"Tank","NaJin e-mFire","Middle",1,"100%",,2,0,4,6,"42.9%","14.3%","0.0%","100%",172,-375,-7,9.4,"32.4%",498,"29.1%",,272,"22.7%",,0.22,0.09,0.12
"Tom","SK Telecom T1","Jungle",6,"100%",,6,14,46,3.7,"60.5%","7.0%","27.5%","50%",-79,-254,-2.2,3.1,"9.5%",170,"8.2%",,170,"15.5%",,1.06,0.07,0.41
"TrAce","Jin Air Green Wings","Top",42,"52%",,77,82,271,4.2,"68.5%","15.2%","20.8%","21%",-60,-16,-1.7,6.7,"22.8%",365,"22.2%",,199,"20.2%",,0.65,0.08,0.08
"Trick","CJ Entus","Jungle",7,"43%",,15,17,43,3.4,"79.5%","20.5%","18.5%","57%",57,30,2.1,3.2,"10.9%",277,"14.3%",,168,"17.8%",,0.69,0.1,0.36
"TusiN","Incredible Miracle","Jungle",35,"29%",,64,103,217,2.7,"71.7%","16.3%","20.9%","40%",-38,31,0.2,3.1,"10.6%",242,"14.1%",,164,"17.4%",,1.14,0.15,0.51
"viviD","SBENU Korea","Support",9,"11%",,7,31,52,1.9,"78.7%","9.3%","20.1%","33%",101,-77,0.9,1.3,"4.9%",125,"7.6%",,81,"9.4%",,1.15,0.18,0.23
"Watch","NaJin e-mFire","Jungle",44,"57%",,83,108,336,3.9,"70.1%","13.9%","22.0%","52%",35,-17,-2.7,2.9,"9.5%",227,"13.0%",,163,"16.1%",,0.96,0.11,0.36
"Winged","Jin Air Green Wings","Jungle",4,"50%",,1,3,19,6.7,"71.4%","3.6%","9.7%","0%",-109,-210,-7.5,3.5,"11.4%",129,"8.1%",,162,"16.8%",,1.17,0.09,0.44
"Wisdom","ROX Tigers","Jungle",25,"52%",,46,62,149,3.1,"67.7%","16.0%","21.0%","44%",114,132,2.9,3.4,"11.6%",225,"12.6%",,176,"17.6%",,1.07,0.12,0.31
"Wolf","SK Telecom T1","Support",41,"85%",,29,66,445,7.2,"70.4%","4.3%","16.9%","39%",84,85,-1,0.9,"3.4%",103,"5.0%",,121,"10.5%",,1.25,0.27,0.4
"Wraith","Samsung Galaxy","Support",21,"48%",,16,40,182,5,"76.2%","6.2%","17.2%","14%",-76,-14,2,0.9,"3.1%",108,"6.7%",,92,"9.0%",,1.48,0.27,0.33
