"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Deft","Hanwha Life Esports","ADC",43,"40%","65%",117,101,206,3.2,"65.3%","23.6%","18.1%","23%",45,121,3.3,9.3,"29.5%",552,"29.5%","33.4%",276,"25.0%",0,0.54,0.17,0.38
"Delight","BRION","Support",48,"42%","65%",36,113,313,3.1,"72.3%","7.5%","22.0%","25%",-72,-9,-3.8,1.3,"2.8%",127,"7.4%","7.3%",98,"8.9%",0,1.77,0.59,0.47
"deokdam","Nongshim RedForce","ADC",46,"59%","33%",156,76,206,4.8,"61.5%","26.5%","14.8%","11%",-38,-70,-2.2,8.8,"27.9%",555,"26.9%","27.6%",280,"24.8%",0,0.56,0.15,0.35
"Destroy","DRX","Top",1,"0%","0%",1,5,1,0.4,"50.0%","25.0%","33.3%","0%",-1234,-1111,-14,8.9,"26.6%",237,"15.7%",,228,"22.8%",,0.48,0.36,0.26
"Doran","KT Rolster","Top",46,"46%","54%",135,119,230,3.1,"66.7%","24.7%","21.8%","13%",233,180,7.7,8.6,"25.4%",502,"27.1%","29.3%",272,"24.5%",1,0.44,0.25,0.25
"Dove","KT Rolster","Middle",45,"44%","51%",170,96,206,3.9,"70.0%","31.7%","17.8%","18%",73,110,-0.2,8.5,"24.7%",465,"25.2%","25.9%",263,"23.8%",0,0.52,0.27,0.29
"Dread","Kwangdong Freecs","Jungle",46,"54%","54%",128,95,278,4.3,"76.6%","24.2%","19.4%","48%",122,112,2.8,6.2,"18.0%",316,"16.7%","16.6%",211,"19.1%",2,0.48,0.34,0.48
"DuDu","Hanwha Life Esports","Top",21,"43%","52%",51,57,91,2.5,"54.6%","19.6%","21.9%","29%",-207,-217,-6.1,8.2,"24.7%",389,"21.0%",,256,"22.5%",,0.48,0.26,0.22
"Effort","Liiv SANDBOX","Support",47,"55%","51%",25,140,324,2.5,"67.9%","4.9%","24.6%","21%",-104,-131,-7,1.1,"2.3%",103,"6.0%","6.4%",94,"8.3%",0,1.83,0.65,0.42
"Faker","T1","Middle",44,"57%","66%",100,89,212,3.5,"61.4%","19.7%","19.6%","25%",143,24,1.6,8.5,"24.2%",391,"21.7%","17.2%",262,"22.8%",0,0.58,0.28,0.29
"FATE","Liiv SANDBOX","Middle",47,"55%","36%",120,82,215,4.1,"65.2%","23.3%","14.4%","23%",90,40,1.3,9.1,"27.1%",421,"23.5%","25.6%",277,"24.7%",0,0.51,0.29,0.24
"Fly","Kwangdong Freecs","Middle",46,"54%","43%",103,110,254,3.2,"67.4%","19.4%","22.5%","30%",-104,-140,-1.4,8,"22.6%",407,"21.6%","20.2%",237,"21.5%",0,0.41,0.21,0.29
"Ghost","Dplus KIA","ADC",33,"67%","42%",112,69,205,4.6,"67.6%","23.9%","17.1%","21%",-54,-48,-3.7,8.6,"28.7%",491,"23.0%","28.9%",279,"23.5%",0,0.77,0.21,0.35
"gideon","KT Rolster","Jungle",5,"40%","0%",8,11,25,3,"64.7%","15.7%","19.3%","20%",-282,-215,-1.4,4.8,"12.2%",196,"12.0%","11.5%",160,"15.0%",1,0.36,0.36,0.61
"Gori","Nongshim RedForce","Middle",46,"59%","65%",145,113,213,3.2,"60.8%","24.6%","22.0%","15%",-278,-170,-9.1,8.5,"25.8%",475,"22.7%","25.7%",261,"23.1%",0,0.43,0.24,0.29
"Gumayusi","T1","ADC",25,"60%","56%",66,35,108,5,"65.7%","24.9%","13.9%","20%",129,86,4.1,10.1,"32.0%",473,"26.8%","34.1%",302,"26.2%",0,0.69,0.26,0.41
"Harp","KT Rolster","Support",28,"50%","43%",11,83,217,2.7,"65.3%","3.2%","24.9%","29%",55,58,9.7,1.9,"4.6%",140,"8.0%","5.7%",104,"9.2%",0,1.42,0.57,0.32
